,0,1,2
68,"'GRAN AMERICA, 006202 (69)'",4.626669567567568,-74.08397186486486
69,"'SANTA MARIA, 005602 (70)'",4.6938148850574715,-74.09329696551724
70,"'PASADENA, 009125 (71)'",4.691865745283018,-74.06338600943397
71,"'SEVILLA, 001201 (72)'",4.588876714285713,-74.09066557142857
72,"'DELMONTE, 009246 (73)'",4.7587138125,-74.07387446875
73,"'LAS MERCEDES I, 009243 (74)'",4.758462619718309,-74.09110745070426
74,"'EL CARMEN FONTIBON, 006408 (75)'",4.676535734693878,-74.15121901020407
75,"'VELODROMO, 001114 (76)'",4.574049329787234,-74.08771648936171
76,"'NUEVA DELHI, 001323 (77)'",4.53029971875,-74.08799638541667
77,"'CORDOBA, 001303 (78)'",4.564213290322581,-74.09075487096776
78,"'GUACAMAYAS II, 001352 (79)'",4.554175435897436,-74.09825582051283
79,"'TINTALITO, 004617 (80)'",4.6293783,-74.17026584999999
80,"'SANTA ROSA ALTA, 103101 (81)'",4.238761325024925,-74.18938237088733
81,"'EL TABACO, 103203 (82)'",4.256186830515638,-74.16058949281488
82,"'EL ISTMO, 103202 (83)'",4.21632097190518,-74.17541715452151
83,"'SAUCEDAL, 004560 (84)'",4.634841300000001,-74.16151776666666
84,"'EL VERGEL, 006528 (85)'",4.6553644375,-74.13552403125
85,"'GRAN YOMASA, 002506 (86)'",4.508337137931035,-74.1118134137931
86,"'PEPINITOS, 102405 (87)'",4.498796941520467,-74.09492607602338
87,"'BOCHICA, 005632 (88)'",4.71120127027027,-74.106345
88,"'EL CHARCO, 205402 (89)'",4.6975746478260865,-74.17068335652174
89,"'EL SALITRE, 005110 (90)'",4.653221869565217,-74.09955195652175
90,"'PENALISA, 103206 (91)'",4.180702984578885,-74.13148371767497
91,"'TUNAL BAJO, 109114 (92)'",3.9746984859511745,-74.3526344117918
92,"'SANTA TERESITA, 007102 (93)'",4.6312140416666665,-74.07096016666667
93,"'SAN BERNARDINO RURAL, 105317 (94)'",4.639367703703704,-74.20412203703702
94,"'SAMORE, 002406 (95)'",4.581876063829786,-74.13265214893617
95,"'PRADO PINZON, 009105 (96)'",4.728547549295776,-74.05471170422535
96,"'EL REMANSO, 205320 (97)'",4.6164853937007875,-74.20533253543307
